;long;lat;road;fuel_supply;restaurant;snack_bar;convenience_store;public_phone;hotel;mechanics;borrower;money_supply;site_size_m2;vacancy_length
;-51188032;-29996108;BR-116;1;o;1;1;1;o;o;o;o;1000;2
;-51189453;-29996151;BR-116;1;o;o;o;o;o;o;o;o;o;o
;-52080548;-27431759;BR-153;1;1;1;o;1;o;1;1;o;2200;10
;-52080457;-27431733;BR-153;1;1;1;o;1;o;1;1;o;1200;10
;-52221648;-27572964;BR-153;1;o;1;o;o;o;o;1;o;4000;20
;-52252153;-27646412;BR-153;o;1;o;o;o;o;o;o;o;3000;15
;-52255272;-27647928;BR-153;1;1;1;o;o;o;o;o;o;6000;20
;-52290992;-27676349;BR-153;1;1;1;o;1;1;o;1;o;2750;20
;-52914146;-30040592;BR-153;1;1;1;o;o;o;1;1;o;2500;10
;-52909024;-30050889;BR-153;1;1;1;1;1;o;1;1;o;400;2
;-53474723;-28180704;BR-158;1;1;1;o;1;o;o;1;o;4000;15
;-53502201;-28341440;BR-158;1;1;1;o;1;o;o;1;o;7800;20
;-53600817;-28687085;BR-158;1;1;1;1;1;1;1;1;o;12500;30
;-53596368;-28732674;BR-158;1;1;1;1;1;1;o;1;o;5000;25
;-53612936;-28842566;BR-158;1;1;1;o;1;o;1;1;o;5000;25
;-53636628;-28915735;BR-158;1;1;1;o;o;o;o;1;o;3000;12
;-53667103;-29173983;BR-158;o;o;o;o;o;o;1;1;o;2000;8
;-53665463;-29236474;BR-158;1;1;1;o;o;o;o;o;o;1200;6
;-53663679;-29254957;BR-158;1;1;1;1;1;o;1;1;o;7750;25
;-53761611;-29640887;BR-158;1;o;1;o;o;o;o;o;o;1250;8
;-53837659;-29700964;BR-158;1;o;1;o;1;o;o;1;o;2500;10
;-55511609;-30875330;BR-158;1;o;1;o;1;o;o;o;o;1800;10
;-55518327;-30879891;BR-158;1;o;1;o;o;o;o;o;o;o;o
;-55520854;-30880858;BR-158;1;o;o;o;o;o;o;o;o;1500;10
;-51187951;-28325718;BR-285;1;o;o;o;o;o;o;1;o;2000;5
;-51189747;-28325715;BR-285;1;o;1;1;1;o;o;1;o;4000;20
;-51505607;-28229949;BR-285;1;1;1;1;1;o;1;1;o;3900;15
;-51679059;-28272445;BR-285;1;1;1;o;1;o;o;1;o;2000;8
;-51681240;-28273878;BR-285;1;1;1;1;o;o;o;1;o;1200;6
;-52061726;-28304504;BR-285;1;1;1;1;1;o;1;1;o;2800;8
;-52196653;-28274704;BR-285;1;1;o;o;1;o;1;1;o;1500;8
;-53186423;-28432878;BR-285;1;1;1;o;o;o;o;o;o;1800;10
;-53261303;-28386233;BR-285;1;1;1;o;o;o;1;1;o;2000;15
;-53531139;-28345200;BR-285;1;1;1;o;1;o;1;1;o;2100;12
;-53706131;-28346601;BR-285;o;o;o;o;1;o;o;o;o;1200;8
;-53773569;-28364415;BR-285;1;1;o;o;1;o;1;1;o;3000;12
;-53885503;-28383162;BR-285;1;1;1;1;1;o;1;1;o;6300;15
;-53894907;-28391794;BR-285;1;o;1;o;1;o;o;o;o;2000;8
;-53908572;-28412556;BR-285;1;1;1;1;1;o;1;1;o;4000;20
;-54060780;-28381526;BR-285;1;o;1;o;1;o;1;1;o;4200;10
;-54065178;-28381080;BR-285;1;1;o;o;1;o;1;1;o;1575;8
;-54261603;-28376845;BR-285;1;1;1;1;1;o;1;1;o;9600;25
;-54573385;-28410870;BR-285;1;o;o;o;o;o;1;1;o;2200;12
;-54927203;-28416501;BR-285;1;1;1;o;1;o;1;1;o;2000;10
;-54965826;-28416958;BR-285;1;1;1;o;1;o;1;1;o;3000;15
;-54991708;-28414400;BR-285;1;1;1;o;o;o;1;1;o;2600;20
;-55250464;-28488768;BR-285;1;1;1;o;o;o;1;1;o;2500;12
;-55542422;-28538059;BR-285;o;o;o;o;o;o;o;o;o;700;4
;-55974831;-28669781;BR-285;1;1;1;o;1;o;o;1;o;4000;25
;-53722500;-29704917;BR-287;1;o;o;o;1;o;o;o;o;o;o
;-53726805;-29706316;BR-287;1;o;1;1;1;o;1;1;o;2000;25
;-53732846;-29706580;BR-287;1;1;1;1;1;1;1;1;o;2500;25
;-53772936;-29708172;BR-287;1;o;1;o;o;o;o;1;o;3000;15
;-53780632;-29708101;BR-287;1;o;1;o;o;o;1;1;o;1000;6
;-53849491;-29697048;BR-287;1;o;1;o;o;1;o;1;o;3300;25
;-53873895;-29689179;BR-287;1;o;1;1;1;o;1;1;o;4000;20
;-53967929;-29674983;BR-287;1;o;o;o;o;o;o;o;o;600;4
;-54184759;-29637621;BR-287;1;1;1;1;1;o;1;1;o;2500;10
;-54676953;-29686929;BR-287;1;1;o;o;o;o;o;1;o;2000;8
;-54677120;-29514895;BR-287;1;1;o;o;o;o;o;o;o;1500;6
;-54849632;-29176435;BR-287;1;1;1;o;1;o;o;1;o;3300;15
;-55136962;-29050221;BR-287;1;o;1;o;o;o;o;o;o;1500;5
;-55924358;-28689841;BR-287;1;1;o;o;1;o;o;1;o;2500;20
;-52372358;-30189387;BR-290;1;1;1;o;1;o;1;1;o;2000;8
;-52800023;-30254234;BR-290;1;1;1;o;o;o;1;1;o;2000;8
;-52848152;-30263759;BR-290;1;1;1;o;o;o;1;1;o;4000;15
;-53061381;-30250715;BR-290;1;o;o;o;o;o;o;1;o;1500;6
;-53329547;-30348321;BR-290;1;1;1;o;o;o;1;1;o;2000;8
;-53528757;-30364669;BR-290;1;o;o;o;1;1;o;o;o;1500;10
;-53528708;-30364788;BR-290;1;1;1;o;1;1;1;1;o;3000;12
;-53885495;-30341989;BR-290;1;o;1;o;o;o;1;1;o;1200;5
;-53886633;-30342478;BR-290;1;1;1;o;o;o;o;1;o;2500;10
;-54081803;-30338882;BR-290;1;1;1;o;1;1;o;1;o;2500;15
;-54331603;-30352890;BR-290;1;o;o;o;o;o;o;o;o;1500;12
;-54374053;-30327675;BR-290;1;1;1;o;1;o;1;1;o;2000;10
;-54784527;-30237508;BR-290;1;1;1;1;o;o;1;1;o;2000;10
;-54919219;-30243281;BR-290;1;1;1;1;1;1;1;1;o;2200;15
;-54943670;-30242179;BR-290;1;1;1;o;1;o;o;1;o;1500;8
;-55277313;-30093342;BR-290;1;1;1;o;o;o;1;1;o;2000;10
